customer_number,segment,signup_date,postal_code
CUST000001,,2019-01-30,60540
CUST000002,Business,2019/04/20,60540
CUST000003,Premium,03-22-21,60A123
CUST000004,,06-28-19,60A123
CUST000005,,2020/07/16,
CUST000006,Business,09-15-21,60601
CUST000007,Mainstream,13-Sep-2018,N/A
CUST000008,Value,2017-08-24,60540
CUST000009,Value,2020-11-19,60540
CUST000010,Mainstream,,
CUST000011,Premium,2022-07-16,
CUST000012,Value,13-Dec-2018,60601
CUST000013,Mainstream,2022-06-12,
CUST000014,Business,2022-04-03,60601
CUST000015,Value,12-08-20,60601
CUST000016,Value,21-Aug-2021,N/A
CUST000017,Mainstream,09-Oct-2019,60540
CUST000018,,01-30-21,60A123
CUST000019,Business,09-Sep-2017,60A123
CUST000020,Business,2020-11-30,60540
CUST000021,,08/26/2021,60540
CUST000022,Mainstream,11-Aug-2018,N/A
CUST000023,,12-13-19,60601
CUST000024,Mainstream,06/20/2021,
CUST000025,Premium,2019/05/03,
CUST000026,Premium,02-22-20,N/A
CUST000027,Premium,2018-09-13,
CUST000028,Mainstream,22-May-2021,
CUST000029,Business,12-21-19,60601
CUST000030,,08/09/2021,
CUST000031,,03-05-20,60601
CUST000032,Mainstream,,N/A
CUST000033,Mainstream,10-16-22,
CUST000034,Premium,2019-11-14,60A123
CUST000035,Value,02-14-19,60A123
CUST000036,Mainstream,09-18-20,60A123
CUST000037,,25-Nov-2020,60540
CUST000038,Mainstream,2022/11/24,60540
CUST000039,Premium,2022-11-21,60540
CUST000040,Mainstream,03-14-20,
CUST000041,Value,2019/10/26,
CUST000042,Mainstream,02/02/2022,60540
CUST000043,,2017-09-23,
CUST000044,,2022/09/11,
CUST000045,Premium,17-Oct-2019,N/A
CUST000046,Mainstream,08/08/2019,60540
CUST000047,,04-29-21,60540
CUST000048,,2018/11/06,60A123
CUST000049,Business,2017-09-16,
CUST000050,Business,2022/09/11,60A123
CUST000051,,09/18/2021,
CUST000052,Premium,2020/08/06,60540
CUST000053,Business,2017-11-27,N/A
CUST000054,Value,03-20-19,60601
CUST000055,Business,2022/06/10,60A123
CUST000056,Mainstream,08-11-20,60A123
CUST000057,,30-Jun-2018,N/A
CUST000058,Business,29-Jun-2020,60540
cust000059,Premium,01/04/2020,
CUST000060,Mainstream,,
CUST000061,Mainstream,2017-09-21,60540
CUST000062,Mainstream,04/08/2018,60601
CUST000063,Value,2022-04-14,
CUST000064,,,
CUST000065,Value,05-02-22,
CUST000066,,09-11-18,60540
 CUST000067 ,Value,2019-07-02,N/A
CUST000068,Premium,2018-02-15,60A123
CUST000069,Value,2020/05/09,60601
CUST000070,Mainstream,11-20-18,
CUST000071,Mainstream,07-Jan-2018,60A123
CUST000072,Business,16-May-2021,
CUST000073,,2021-04-12,
CUST000074,Business,10/27/2020,N/A
CUST000075,Mainstream,2019-05-04,N/A
 CUST000076 ,Premium,2019/09/08,60A123
CUST000077,Mainstream,2020/10/02,
CUST000078,Mainstream,2020-11-04,60601
CUST000079,Premium,2022/10/19,N/A
CUST000080,,2021/11/04,60A123
CUST000081,Premium,2019/08/04,N/A
CUST000082,Mainstream,2022/06/13,60601
CUST000083,Mainstream,2017/09/18,
 CUST000084 ,,01-Apr-2019,60A123
CUST000085,Value,07-16-21,60540
CUST000086,Business,12-02-20,60601
CUST000087,,22-Jan-2022,60601
 CUST000088 ,Value,05-07-18,60A123
CUST000089,Premium,07-07-21,60540
CUST000090,,11-06-17,60540
CUST000091,Premium,2021-08-06,60540
CUST000092,Mainstream,08-21-22,60601
CUST000093,Value,2020-04-27,N/A
CUST000094,Mainstream,25-Oct-2020,
CUST000095,Mainstream,21-May-2022,60540
CUST000096,Mainstream,12-24-19,N/A
CUST000097,Premium,09-14-18,
CUST000098,Value,2018/09/17,N/A
CUST000099,,02/04/2018,60A123
CUST000100,Premium,10-Sep-2020,60A123
CUST000101,Value,2021/08/14,N/A
CUST000102,Mainstream,2019/11/02,N/A
CUST000103,Value,2020-03-13,
 CUST000104 ,Mainstream,01-Sep-2019,60601
cust000105,Value,2020/11/26,N/A
CUST000106,Business,18-Sep-2017,60601
CUST000107,,03-19-21,60A123
CUST000108,,2021/06/26,
CUST000109,Mainstream,01/31/2021,N/A
 CUST000110 ,Premium,07/01/2022,N/A
CUST000111,Premium,,60A123
CUST000112,Value,07-Nov-2017,60A123
CUST000113,Premium,2022-09-27,60540
CUST000114,Premium,26-Jun-2021,N/A
cust000115,,08-Nov-2021,
CUST000116,,27-Oct-2021,N/A
CUST000117,Mainstream,2020/01/01,
CUST000118,Business,10/21/2022,60601
CUST000119,Mainstream,,60601
CUST000120,Value,10-27-20,60A123
cust000121,Mainstream,07-07-18,
CUST000122,Premium,2019/08/16,
 CUST000123 ,Premium,11-13-22,60601
CUST000124,,09/09/2017,60601
CUST000125,Value,2018-07-03,60540
CUST000126,Mainstream,2018/01/14,
CUST000127,Mainstream,2020-06-29,60601
CUST000128,Premium,26-Aug-2020,N/A
CUST000129,Value,2018-11-16,60A123
CUST000130,Business,2022/06/04,60601
CUST000131,Mainstream,04-21-18,60540
CUST000132,Business,11/14/2021,60A123
CUST000133,Mainstream,01-03-22,N/A
CUST000134,Business,11/09/2019,
CUST000135,Business,2022-08-20,60A123
CUST000136,Mainstream,01-16-22,60601
CUST000137,Value,29-Oct-2019,60540
CUST000138,,2017/07/28,60A123
CUST000139,Business,07-04-19,60540
CUST000140,Value,2020/02/29,60540
CUST000141,Value,02-06-22,60A123
CUST000142,,2020/10/03,
CUST000143,,2021-10-02,
cust000144,Mainstream,2021-07-23,60540
 CUST000145 ,Business,03/20/2022,60540
CUST000146,Value,21-Aug-2019,60540
CUST000147,,11/09/2021,60540
CUST000148,,05/05/2021,60A123
CUST000149,Premium,2019/10/07,N/A
CUST000150,Mainstream,2021/11/03,60A123
CUST000151,Premium,25-Feb-2020,60601
CUST000152,Business,23-Aug-2020,
CUST000153,Premium,2020-05-15,60A123
CUST000154,Premium,2018/08/28,60601
CUST000155,Business,2022/03/31,60601
CUST000156,Mainstream,23-Apr-2022,
CUST000157,Mainstream,2019-02-03,60540
CUST000158,Mainstream,21-Aug-2021,60540
CUST000159,Business,2022-07-22,
CUST000160,,26-Jul-2022,60540
CUST000161,Value,,60601
CUST000162,Mainstream,,N/A
